Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2 - Post an idea,Chrome 106.0.0.0,,,2023-08-26 16:37:56,2023-08-26 16:48:40,10m - 44.060s,FAILED
,,,,,,,
Test Cases/Login,Chrome 106.0.0.0,,,2023-08-26 16:37:56,2023-08-26 16:39:45,1m - 49.005s,PASSED
Start listener action : enableSauceLabs,Chrome 106.0.0.0,,,2023-08-26 16:37:57,2023-08-26 16:37:57,0.037s,PASSED
"openBrowser("""")",Chrome 106.0.0.0,,,2023-08-26 16:37:57,2023-08-26 16:38:01,3.578s,PASSED
"navigateToUrl(""https://katalon-inc--sc.sandbox.my.site.com/katalonhelpcenter/s/"")",Chrome 106.0.0.0,,,2023-08-26 16:38:01,2023-08-26 16:38:19,18.173s,PASSED
"click(findTestObject(""Object Repository/button_Log in""))",Chrome 106.0.0.0,,,2023-08-26 16:38:19,2023-08-26 16:38:31,12.453s,PASSED
"click(findTestObject(""Object Repository/a_Katalon Account""))",Chrome 106.0.0.0,,,2023-08-26 16:38:31,2023-08-26 16:38:57,26.152s,PASSED
"setText(findTestObject(""Object Repository/input_Email_email""), ""user3@5wphoto.com"")",Chrome 106.0.0.0,,,2023-08-26 16:38:57,2023-08-26 16:39:02,4.430s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_Password_password""), ""SLwXyDhhPsbL49YyfNlrYA=="")",Chrome 106.0.0.0,,,2023-08-26 16:39:02,2023-08-26 16:39:04,2.008s,PASSED
"click(findTestObject(""Object Repository/button_Sign In""))",Chrome 106.0.0.0,,,2023-08-26 16:39:04,2023-08-26 16:39:08,3.831s,PASSED
delay(10),Chrome 106.0.0.0,,,2023-08-26 16:39:08,2023-08-26 16:39:18,10.061s,PASSED
"navigateToUrl(""https://katalon-inc--sc.sandbox.my.site.com/katalonhelpcenter/s/ideas"")",Chrome 106.0.0.0,,,2023-08-26 16:39:18,2023-08-26 16:39:45,27.641s,PASSED
Start listener action : autoUpdateJobStatus,Chrome 106.0.0.0,,,2023-08-26 16:39:45,2023-08-26 16:39:45,0.007s,PASSED
,,,,,,,
